node,comm
6,1
7,1
15,1
24,1
25,1
26,1
27,1
47,1
53,1
54,1
73,1
74,1
75,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
121,1
122,1
123,1
124,1
138,1
139,1
143,1
154,1
161,1
162,1
190,1
192,1
193,1
197,1
0,2
1,2
2,2
3,2
4,2
5,2
8,2
9,2
10,2
11,2
12,2
13,2
14,2
16,2
17,2
18,2
19,2
20,2
21,2
22,2
23,2
100,2
120,2
125,2
126,2
127,2
128,2
129,2
130,2
131,2
132,2
133,2
134,2
135,2
136,2
144,2
145,2
146,2
147,2
148,2
149,2
150,2
152,2
156,2
157,2
158,2
159,2
163,2
164,2
165,2
166,2
167,2
168,2
169,2
170,2
171,2
172,2
173,2
174,2
175,2
176,2
177,2
178,2
191,2
194,2
28,3
29,3
30,3
31,3
32,3
33,3
34,3
35,3
36,3
37,3
38,3
39,3
40,3
41,3
42,3
43,3
44,3
45,3
46,3
48,3
49,3
50,3
51,3
52,3
55,3
56,3
57,3
58,3
59,3
60,3
61,3
62,3
63,3
64,3
65,3
66,3
67,3
68,3
69,3
70,3
71,3
72,3
76,3
77,3
78,3
137,3
140,3
141,3
142,3
151,3
153,3
155,3
160,3
179,3
180,3
181,3
182,3
183,3
184,3
185,3
189,3
195,3
196,3
