node,comm
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
85,1
86,1
87,1
88,1
90,1
91,1
92,1
93,1
94,1
97,1
98,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
196,1
197,1
198,1
199,1
200,1
201,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
222,1
223,1
224,1
226,1
227,1
968,1
2526,1
2527,1
4431,1
4432,1
4436,1
4437,1
4438,1
3288,2
3289,2
3292,2
3293,2
3294,2
3299,2
3300,2
3301,2
3307,2
3308,2
3313,2
3314,2
3320,2
3321,2
3322,2
3323,2
3324,2
3327,2
3328,2
3334,2
3335,2
3344,2
3345,2
3346,2
3351,2
3352,2
3353,2
3354,2
3355,2
3356,2
3357,2
3359,2
3360,2
3361,2
3362,2
3363,2
3364,2
3372,2
3373,2
3374,2
3375,2
3376,2
3377,2
3378,2
3381,2
3384,2
3385,2
3397,2
3409,2
3410,2
3411,2
3412,2
3413,2
3414,2
3415,2
3416,2
3417,2
3418,2
3419,2
3420,2
3421,2
3430,2
3431,2
3432,2
3433,2
3434,2
3440,2
3441,2
3442,2
3443,2
3444,2
3445,2
3446,2
3447,2
3448,2
3449,2
3450,2
3451,2
3452,2
3453,2
3454,2
3455,2
3465,2
3468,2
3469,2
3470,2
3472,2
3473,2
3474,2
3475,2
3476,2
3477,2
3478,2
3481,2
3482,2
3483,2
3485,2
3486,2
3489,2
3497,2
3498,2
3499,2
3501,2
3502,2
3505,2
3506,2
3509,2
3514,2
3515,2
3518,2
3519,2
3520,2
3522,2
3523,2
3524,2
3534,2
3535,2
3536,2
3537,2
3538,2
3539,2
3540,2
3541,2
3546,2
3547,2
3548,2
3549,2
3552,2
3554,2
3555,2
3566,2
3568,2
3569,2
3570,2
3571,2
3572,2
3573,2
3578,2
3579,2
3583,2
3584,2
3585,2
3586,2
3587,2
3593,2
3597,2
3598,2
3599,2
3600,2
3608,2
3609,2
3614,2
3619,2
3620,2
3621,2
3625,2
3628,2
3630,2
3631,2
3632,2
3636,2
3637,2
3639,2
3640,2
3641,2
3642,2
3643,2
3644,2
3655,2
3656,2
3662,2
3663,2
3664,2
3665,2
3666,2
3667,2
3668,2
3669,2
3670,2
3671,2
3672,2
3673,2
3685,2
3686,2
3687,2
3688,2
3689,2
3690,2
3700,2
3701,2
3702,2
3703,2
3704,2
3705,2
3706,2
3712,2
3714,2
3715,2
3720,2
3721,2
3722,2
3723,2
3725,2
1050,3
1051,3
1052,3
1053,3
1080,3
1081,3
1082,3
1086,3
1087,3
1097,3
1098,3
1099,3
1100,3
1101,3
1102,3
1106,3
1112,3
1113,3
1135,3
1136,3
1153,3
1154,3
1197,3
1198,3
1224,3
1225,3
1247,3
1257,3
1258,3
1278,3
1282,3
1283,3
1326,3
1332,3
1333,3
1334,3
1368,3
1378,3
1379,3
1415,3
1417,3
1418,3
1419,3
1420,3
1421,3
1438,3
1446,3
1447,3
1459,3
1460,3
1461,3
1464,3
1465,3
1466,3
1467,3
1504,3
1505,3
1513,3
1514,3
1526,3
1527,3
1528,3
1530,3
1531,3
1532,3
1533,3
1557,3
1558,3
1562,3
1563,3
1564,3
1565,3
1567,3
1568,3
1569,3
1575,3
1583,3
1597,3
1598,3
1605,3
1606,3
1609,3
1610,3
1611,3
1612,3
1615,3
1616,3
1624,3
1631,3
1632,3
1633,3
1638,3
1639,3
1644,3
1650,3
1660,3
1661,3
1662,3
1666,3
1667,3
1675,3
1676,3
1691,3
1701,3
1702,3
1703,3
1704,3
1705,3
1706,3
1718,3
1721,3
1722,3
1726,3
1727,3
1728,3
1729,3
1730,3
1731,3
1755,3
1757,3
1758,3
1761,3
1768,3
1769,3
1775,3
1776,3
1779,3
1786,3
1789,3
1790,3
1805,3
1814,3
1816,3
1829,3
1839,3
1840,3
1841,3
1846,3
1849,3
1856,3
1870,3
1892,3
1896,3
1915,3
1917,3
1919,3
1920,3
1929,3
1930,3
1937,3
1938,3
1939,3
1940,3
1941,3
1945,3
1946,3
1947,3
1953,3
1954,3
1959,3
1962,3
1964,3
1971,3
1972,3
1973,3
1976,3
1980,3
1981,3
1985,3
1992,3
2011,3
2026,3
2034,3
2045,3
2046,3
2059,3
2067,3
2068,3
2069,3
2070,3
2076,3
2077,3
2088,3
2089,3
2091,3
2092,3
2093,3
2096,3
2097,3
2098,3
2108,3
2109,3
2110,3
2133,3
2136,3
2137,3
2148,3
2165,3
2183,3
3732,4
3733,4
3734,4
3735,4
3736,4
3737,4
3738,4
3739,4
3740,4
3741,4
3742,4
3743,4
3744,4
3745,4
3746,4
3747,4
3748,4
3751,4
3752,4
3753,4
3754,4
3755,4
3756,4
3757,4
3758,4
3759,4
3760,4
3761,4
3762,4
3763,4
3765,4
3766,4
3767,4
3768,4
3769,4
3770,4
3771,4
3772,4
3773,4
3774,4
3775,4
3776,4
3777,4
3778,4
3779,4
3780,4
3781,4
3782,4
3783,4
3784,4
3785,4
3786,4
3787,4
3788,4
3789,4
3790,4
3791,4
3792,4
3793,4
3794,4
3795,4
3796,4
3797,4
3798,4
3799,4
3800,4
3801,4
3802,4
3803,4
3804,4
3805,4
3806,4
3807,4
3808,4
3809,4
3810,4
3811,4
3812,4
3813,4
3814,4
3815,4
3816,4
3817,4
