node,comm
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
60,1
61,1
62,1
143,1
145,1
220,1
224,1
234,1
237,1
284,1
286,1
287,1
288,1
289,1
290,1
291,1
313,1
320,1
325,1
369,1
370,1
371,1
372,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,1
411,1
429,1
436,1
437,1
438,1
439,1
497,1
498,1
499,1
500,1
504,1
513,1
514,1
515,1
516,1
521,1
522,1
523,1
524,1
525,1
526,1
559,1
560,1
561,1
563,1
564,1
583,1
584,1
586,1
587,1
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,1
596,1
597,1
598,1
599,1
600,1
601,1
602,1
603,1
604,1
605,1
606,1
607,1
608,1
609,1
610,1
611,1
612,1
613,1
616,1
620,1
624,1
625,1
626,1
627,1
628,1
629,1
630,1
631,1
632,1
633,1
636,1
637,1
638,1
639,1
640,1
641,1
644,1
645,1
646,1
647,1
648,1
649,1
650,1
651,1
652,1
653,1
654,1
655,1
656,1
657,1
658,1
660,1
661,1
662,1
663,1
664,1
665,1
666,1
667,1
669,1
670,1
671,1
672,1
673,1
674,1
675,1
676,1
677,1
678,1
679,1
680,1
681,1
682,1
683,1
684,1
685,1
686,1
687,1
688,1
689,1
690,1
691,1
693,1
697,1
698,1
701,1
707,1
709,1
710,1
711,1
712,1
713,1
714,1
715,1
716,1
717,1
718,1
719,1
720,1
721,1
722,1
723,1
726,1
727,1
728,1
729,1
730,1
731,1
732,1
733,1
734,1
735,1
736,1
737,1
738,1
739,1
740,1
741,1
742,1
743,1
744,1
745,1
748,1
749,1
750,1
751,1
753,1
754,1
755,1
756,1
758,1
759,1
760,1
761,1
762,1
763,1
764,1
765,1
766,1
767,1
768,1
769,1
770,1
771,1
772,1
773,1
774,1
775,1
776,1
777,1
778,1
779,1
780,1
781,1
782,1
783,1
784,1
785,1
786,1
787,1
788,1
789,1
790,1
791,1
792,1
801,1
802,1
803,1
804,1
805,1
807,1
808,1
809,1
810,1
811,1
812,1
813,1
814,1
819,1
820,1
821,1
822,1
823,1
824,1
825,1
826,1
827,1
828,1
833,1
834,1
835,1
836,1
837,1
838,1
839,1
840,1
841,1
842,1
845,1
846,1
848,1
849,1
851,1
852,1
858,1
859,1
860,1
861,1
862,1
863,1
864,1
865,1
866,1
867,1
868,1
869,1
870,1
871,1
872,1
873,1
874,1
875,1
876,1
877,1
880,1
881,1
882,1
883,1
888,1
889,1
890,1
892,1
899,1
900,1
901,1
902,1
906,1
912,1
913,1
914,1
915,1
916,1
917,1
918,1
919,1
920,1
921,1
922,1
923,1
924,1
925,1
926,1
927,1
928,1
929,1
930,1
931,1
932,1
933,1
934,1
935,1
936,1
937,1
938,1
939,1
940,1
942,1
943,1
944,1
945,1
946,1
947,1
948,1
949,1
950,1
951,1
952,1
953,1
954,1
956,1
957,1
958,1
959,1
960,1
961,1
962,1
963,1
964,1
965,1
968,1
969,1
970,1
971,1
972,1
973,1
974,1
975,1
976,1
977,1
978,1
979,1
980,1
981,1
982,1
983,1
984,1
985,1
989,1
990,1
991,1
992,1
995,1
999,1
1000,1
1001,1
1002,1
1003,1
1005,1
1293,1
1538,1
1539,1
1655,1
1734,1
1781,1
1802,1
1825,1
2285,1
2286,1
2287,1
2332,1
2379,1
2382,1
2386,1
2400,1
2566,1
2574,1
2585,1
2614,1
2615,1
2652,1
2670,1
2703,1
2708,1
2724,1
2725,1
2732,1
