n_nodes,influence,nodes
9,265.04,"[257, 778, 3467, 395, 780, 654, 1167, 170, 145, 215]"
7,219.83,"[170, 3467, 395, 654, 1167, 145, 215]"
6,208.86,"[170, 395, 654, 1167, 145, 215]"
1,89.64,[170]
16,317.72,"[257, 166, 778, 3467, 395, 780, 654, 1167, 2123, 145, 170, 171, 4974, 215, 1368, 825]"
15,309.91,"[257, 166, 778, 3467, 395, 780, 654, 1167, 2123, 145, 170, 171, 215, 1368, 825]"
8,256.76,"[257, 3467, 395, 780, 654, 1167, 170, 145, 215]"
3,137.14,"[296, 170, 395]"
13,294.45,"[257, 778, 3467, 395, 654, 780, 1167, 145, 170, 171, 215, 1368, 825]"
33,403.81,"[257, 778, 3467, 395, 780, 654, 1167, 2447, 145, 138, 166, 170, 171, 812, 1740, 2253, 4943, 2130, 1748, 727, 1368, 215, 2265, 7390, 3809, 99, 5857, 1765, 1385, 495, 369, 760, 767]"
35,414.96,"[257, 778, 3467, 395, 780, 654, 1167, 652, 145, 166, 170, 825, 1740, 2253, 2130, 2130, 1748, 215, 2264, 727, 1368, 2911, 864, 3809, 2786, 99, 5857, 1765, 1385, 495, 2416, 369, 760, 3322, 5371, 767]"
5,188.22,"[170, 395, 1167, 145, 215]"
2,116.33,"[170, 395]"
14,309.71,"[4576, 166, 778, 3467, 395, 780, 654, 1167, 145, 170, 171, 215, 1368, 825]"
4,168.24,"[170, 1167, 145, 215]"
39,426.11,"[257, 778, 3467, 395, 780, 654, 1167, 145, 166, 2343, 296, 170, 825, 1740, 2253, 4943, 2130, 1748, 215, 2264, 727, 1368, 2265, 7389, 2911, 864, 3809, 5687, 99, 5857, 1765, 1385, 495, 2416, 369, 760, 3322, 5371, 767]"
