n_nodes,influence,nodes
1,47.2,[408]
14,263.04,"[3712, 1183, 408, 902, 6066, 915, 5181, 693, 1054, 699, 1052, 2013, 6046, 31]"
24,341.08,"[3712, 902, 144, 915, 408, 1052, 1054, 1183, 31, 2480, 1457, 6066, 693, 699, 5181, 194, 1989, 1221, 5191, 6089, 2634, 2013, 3709, 6037]"
16,275.64,"[3712, 902, 31, 2013, 1169, 145, 915, 1457, 6066, 408, 699, 1052, 5181, 1054, 1183, 1171]"
4,139.37,"[144, 408, 699, 2013]"
19,301.78,"[3712, 902, 915, 408, 1054, 1183, 31, 1457, 6066, 693, 699, 5181, 194, 1989, 1221, 5191, 6089, 2634, 2013]"
7,190.29,"[3712, 3778, 902, 408, 699, 1052, 2013]"
13,255.81,"[3712, 1183, 902, 3267, 145, 915, 5181, 408, 699, 1052, 2013, 1054, 31]"
3,108.63,"[3712, 2013, 699]"
10,237.61,"[3712, 902, 2013, 1681, 915, 408, 699, 1052, 5181, 1054, 1183]"
9,226.53,"[3712, 902, 1052, 144, 408, 1081, 699, 6652, 2013, 31]"
2,92.41,"[408, 699]"
41,402.82,"[3712, 902, 3720, 144, 915, 408, 1052, 1054, 1183, 31, 4258, 2595, 1200, 1457, 699, 957, 5181, 6337, 194, 5316, 1989, 1221, 71, 454, 1480, 1481, 5194, 2634, 4556, 2254, 977, 987, 2013, 3295, 993, 2665, 1386, 492, 4078, 3951, 3192]"
35,372.98,"[3712, 902, 144, 915, 408, 1052, 31, 1183, 4258, 5283, 6564, 2595, 1457, 699, 5181, 957, 6337, 194, 5316, 1989, 1221, 5191, 454, 1481, 5194, 2634, 4556, 2254, 977, 987, 2013, 3295, 993, 2665, 1773]"
20,330.73,"[3712, 902, 144, 915, 408, 1052, 1054, 31, 1183, 1457, 693, 699, 5181, 194, 1989, 1221, 5191, 6089, 2634, 975, 2013]"
33,364.44,"[3712, 902, 144, 915, 408, 1052, 1054, 1183, 31, 4258, 5283, 6564, 2595, 1457, 699, 1341, 5181, 194, 1221, 1989, 5191, 5575, 1480, 1481, 454, 2634, 4556, 5581, 1616, 2377, 5081, 987, 3676, 2013]"
18,296.14,"[3712, 915, 408, 1052, 1054, 31, 1183, 6564, 1457, 6066, 693, 699, 5181, 1221, 5191, 2634, 2013, 3709]"
43,410.89,"[3712, 902, 144, 915, 408, 1052, 1054, 31, 1183, 4258, 5283, 6564, 2595, 1200, 1457, 699, 5181, 957, 6337, 194, 5316, 1989, 1221, 5191, 454, 1480, 1481, 5194, 2634, 4556, 2254, 977, 987, 2013, 3295, 993, 2665, 1386, 492, 4078, 3951, 3192, 1744]"
21,338.59,"[3712, 902, 144, 915, 408, 1052, 1054, 31, 1183, 1457, 693, 699, 5181, 194, 1989, 1221, 5191, 6089, 2634, 975, 5330, 2013]"
8,215.67,"[3712, 902, 2013, 915, 693, 408, 699, 1052, 5181]"
38,394.08,"[3712, 902, 1681, 915, 408, 1052, 1054, 31, 1183, 2480, 1457, 6066, 693, 699, 5181, 194, 1989, 1221, 5191, 1480, 6089, 2634, 5194, 4556, 2254, 1743, 977, 987, 2013, 3295, 993, 2665, 1386, 492, 4078, 3951, 3192, 4135]"
33,359.01,"[3712, 902, 144, 915, 408, 1052, 1054, 1183, 31, 4258, 2595, 1200, 1457, 1847, 699, 957, 5181, 6337, 194, 5316, 1989, 1221, 5191, 454, 1480, 5194, 2634, 4556, 2254, 977, 987, 2013, 3295]"
17,290.23,"[3712, 1183, 6564, 1221, 3709, 5191, 2634, 1457, 6066, 915, 5181, 693, 408, 699, 1052, 2013, 31]"
19,313.54,"[3712, 902, 915, 408, 1052, 1054, 1183, 31, 6564, 1457, 6066, 693, 699, 5181, 194, 1989, 5191, 6089, 2634, 2013]"
31,358.47,"[3712, 902, 1681, 915, 408, 1052, 1054, 31, 1183, 2480, 1457, 6066, 693, 699, 5181, 194, 1989, 1221, 5191, 1480, 6089, 2634, 5194, 4556, 2254, 1743, 977, 4178, 3667, 2266, 2013]"
15,267.14,"[3712, 1183, 3267, 902, 145, 915, 5181, 408, 2906, 699, 1052, 2013, 1054, 31, 240]"
7,207.57,"[3712, 902, 915, 408, 699, 1052, 2013, 4385]"
11,250.36,"[3712, 902, 31, 2013, 145, 915, 408, 699, 1052, 6618, 1054, 1183]"
5,175.43,"[3712, 408, 699, 1052, 2013]"
36,381.04,"[3712, 902, 1681, 915, 408, 1052, 1054, 31, 1183, 4258, 5283, 6564, 2595, 1200, 1457, 699, 5181, 957, 6337, 194, 5316, 1989, 1221, 5191, 1480, 5194, 2634, 4556, 2254, 977, 987, 2013, 3295, 993, 2665, 1773]"
29,351.48,"[3712, 902, 1169, 145, 915, 408, 1052, 1054, 31, 1183, 2473, 2480, 1457, 6066, 693, 699, 5181, 194, 1989, 1221, 5191, 5194, 2634, 5201, 5848, 2013, 6112, 4214, 6009]"
