n_nodes,influence,nodes
3,89.54,"[2013, 286, 1687]"
7,175.05,"[2979, 1221, 2374, 775, 1687, 2013, 286, 31]"
4,108.2,"[2374, 775, 1687, 2013]"
8,187.48,"[1221, 2374, 775, 720, 915, 1687, 2013, 350, 286]"
7,144.93,"[2276, 2374, 775, 915, 1366, 2013, 286]"
29,330.69,"[2, 1159, 775, 915, 5143, 1687, 286, 31, 33, 3618, 546, 2979, 1957, 4519, 5544, 5005, 699, 5054, 194, 1221, 2374, 720, 2013, 350, 1375, 4449, 483, 4324, 3940]"
5,141.27,"[2374, 775, 2013, 286, 31]"
22,316.63,"[2, 134, 775, 1159, 915, 1687, 5143, 286, 31, 33, 2979, 4009, 826, 699, 194, 1221, 2374, 6479, 720, 2013, 350, 483, 2920]"
1,37.63,[2013]
42,375.67,"[3072, 2, 775, 1543, 3091, 915, 2709, 1687, 5143, 3738, 286, 31, 33, 546, 2979, 1957, 4519, 5544, 1670, 699, 5054, 194, 1221, 2374, 720, 475, 2013, 350, 1375, 4449, 483, 4324, 1638, 3689, 2793, 2157, 6129, 4597, 2167, 1018, 5243, 508]"
13,252.27,"[483, 1221, 2374, 775, 1687, 6479, 6513, 915, 5143, 699, 2013, 286, 31]"
37,370.75,"[2, 1159, 1543, 775, 3091, 915, 2709, 1687, 5143, 2457, 3738, 286, 31, 33, 546, 2979, 699, 194, 1221, 2374, 720, 475, 2013, 350, 1375, 4449, 483, 1638, 3689, 2793, 2157, 6129, 4597, 2167, 1018, 5243, 508]"
43,386.11,"[2, 775, 776, 777, 1159, 915, 5143, 1687, 3738, 286, 31, 33, 546, 2979, 1957, 4519, 5544, 1068, 699, 5054, 194, 1221, 2374, 334, 720, 475, 2013, 350, 1375, 4449, 483, 4324, 1638, 3689, 2793, 2157, 6129, 4597, 2167, 1018, 5243, 508, 615]"
20,299.97,"[2, 1159, 775, 5775, 915, 1687, 5143, 286, 31, 2979, 4009, 699, 194, 1221, 2374, 6479, 720, 2013, 350, 483, 2920]"
29,330.69,"[2, 775, 776, 915, 1687, 1178, 286, 31, 33, 546, 2979, 1957, 4519, 1068, 699, 5054, 194, 1221, 2374, 475, 2013, 350, 1375, 4449, 483, 1638, 4597, 2167, 1018]"
33,362.66,"[2, 775, 776, 915, 1687, 1178, 286, 31, 33, 546, 2979, 1957, 4519, 699, 4797, 5054, 194, 1221, 2374, 720, 475, 2013, 350, 1375, 4449, 483, 1638, 6129, 4597, 2167, 1018, 5243, 508]"
19,297.79,"[134, 775, 1159, 915, 1687, 5143, 286, 31, 33, 826, 699, 194, 1221, 2374, 6479, 720, 2013, 350, 483, 719]"
30,336.86,"[2, 775, 1543, 1159, 3091, 915, 2709, 5143, 1687, 2457, 3738, 286, 31, 33, 546, 2979, 699, 194, 1221, 2374, 720, 475, 2013, 350, 1375, 4449, 483, 1638, 3689, 2621]"
17,273.2,"[483, 1221, 5398, 2374, 775, 1159, 1687, 6479, 720, 915, 5143, 826, 699, 286, 2013, 350, 31]"
28,326.3,"[915, 2709, 5143, 1687, 286, 31, 33, 546, 2979, 1957, 4519, 1068, 699, 5054, 194, 1221, 2374, 475, 2013, 350, 144, 4449, 483, 1638, 6129, 4597, 2167, 1018]"
9,199.38,"[2, 775, 1687, 6513, 915, 5143, 699, 2013, 286, 31]"
27,320.66,"[2, 775, 776, 915, 1687, 1178, 286, 31, 33, 546, 2979, 1957, 5544, 1068, 699, 5054, 194, 1221, 2374, 6479, 720, 1366, 2013, 350, 483, 2920, 765]"
38,373.83,"[2, 775, 1543, 1159, 3091, 915, 2709, 5143, 1687, 2457, 3738, 286, 31, 33, 546, 2979, 699, 194, 1221, 2374, 720, 475, 2013, 350, 1375, 4449, 483, 1638, 3689, 2793, 2157, 6129, 4597, 2167, 1018, 5243, 508, 4784]"
2,58.37,"[2013, 1687]"
31,339.61,"[775, 915, 5143, 1687, 286, 31, 33, 546, 2979, 1957, 4519, 5544, 1068, 699, 4797, 5054, 194, 1221, 2374, 720, 475, 2013, 350, 1375, 4449, 483, 6410, 6129, 4597, 2167, 1018]"
18,289.74,"[2, 134, 775, 1159, 915, 1687, 5143, 286, 31, 33, 699, 194, 2374, 6479, 720, 2013, 350, 483]"
32,340.5,"[134, 1159, 775, 915, 1687, 286, 31, 33, 2979, 5544, 699, 5054, 6463, 194, 1221, 2374, 720, 2013, 350, 1375, 483, 4324, 1638, 3689, 2793, 2157, 6129, 4597, 2167, 1018, 5243, 508]"
21,308.23,"[775, 915, 2709, 5143, 1687, 286, 31, 33, 546, 2979, 1957, 4519, 1068, 699, 1221, 2374, 6479, 720, 2013, 350, 483, 2920]"
10,227.09,"[1221, 2374, 1687, 6479, 720, 915, 5143, 699, 2013, 286, 31]"
35,365.5,"[2, 775, 776, 915, 1687, 1178, 286, 31, 33, 546, 2979, 1957, 4519, 2362, 699, 4797, 5054, 194, 1221, 2374, 720, 475, 2013, 350, 1375, 4449, 483, 1638, 6129, 4597, 2167, 1018, 5243, 508, 2244]"
