n_nodes,influence,nodes
6,169.5,"[3712, 2374, 408, 538, 30, 286]"
17,311.17,"[3712, 196, 58, 1350, 2374, 775, 430, 2013, 338, 1687, 408, 697, 538, 699, 60, 2604, 30]"
2,73.01,"[3712, 408]"
41,412.49,"[3712, 775, 1289, 144, 2326, 1687, 408, 2199, 538, 30, 286, 5920, 6432, 2464, 1566, 1183, 2598, 5160, 430, 1329, 818, 438, 697, 58, 699, 60, 1853, 1593, 1984, 6721, 4419, 2116, 196, 6981, 1221, 2374, 844, 5084, 2013, 478, 2]"
22,350.47,"[3712, 775, 1289, 144, 1687, 408, 30, 286, 430, 1329, 697, 58, 699, 60, 1853, 196, 2374, 1350, 5577, 338, 5209, 2013, 875]"
7,192.22,"[3712, 1687, 408, 538, 286, 2013, 30]"
27,382.58,"[3712, 775, 1289, 144, 1687, 408, 538, 286, 30, 5920, 6432, 33, 1183, 818, 58, 699, 60, 1853, 1984, 6721, 196, 2374, 2116, 1221, 844, 2013, 3680]"
15,308.71,"[3712, 2374, 775, 2463, 430, 2013, 1329, 1687, 408, 538, 699, 60, 1853, 30, 1183]"
13,292.26,"[3712, 2374, 1853, 4110, 1687, 408, 538, 699, 60, 2013, 30, 286, 6857]"
44,422.55,"[3712, 775, 1289, 144, 1687, 408, 538, 286, 30, 5920, 6432, 33, 1183, 2598, 5160, 430, 1329, 818, 6581, 438, 697, 58, 699, 60, 1853, 1593, 1984, 6721, 4419, 2116, 196, 6981, 1221, 2374, 844, 5199, 5084, 2013, 478, 3050, 943, 6513, 3570, 892, 894]"
1,49.3,[408]
38,406.95,"[3712, 775, 1289, 144, 1687, 408, 2199, 538, 286, 30, 5920, 6432, 33, 4129, 1183, 2598, 4600, 430, 1329, 818, 6581, 438, 697, 58, 699, 60, 1853, 6721, 4419, 2116, 196, 6981, 1221, 2374, 844, 5084, 2013, 478]"
51,427.31,"[3712, 775, 1289, 144, 1687, 408, 538, 286, 30, 5920, 6432, 33, 1183, 2598, 5160, 430, 1329, 818, 6581, 438, 697, 58, 699, 60, 1853, 1593, 1984, 6721, 4419, 2116, 196, 6981, 1221, 2374, 844, 5199, 6616, 2395, 5084, 7003, 1500, 2013, 1507, 99, 1511, 3436, 4086, 3066, 892, 894, 140]"
24,363.12,"[3712, 775, 1289, 144, 1687, 408, 538, 30, 286, 430, 697, 58, 699, 60, 1853, 6721, 196, 2374, 1350, 5577, 338, 5209, 2013, 875]"
10,278.11,"[3712, 2374, 1853, 4110, 1687, 408, 538, 699, 2013, 30, 286]"
