n_nodes,influence,nodes
1,46.65,[408]
13,264.82,"[194, 322, 1093, 1221, 2374, 1421, 785, 408, 699, 286, 1853, 30, 959]"
7,216.87,"[322, 2374, 408, 699, 286, 1853, 30, 959]"
7,201.19,"[322, 2374, 408, 699, 286, 30, 959]"
9,235.09,"[517, 2374, 4367, 785, 408, 699, 286, 1853, 30, 959]"
5,164.35,"[322, 2374, 408, 699, 286]"
11,255.99,"[322, 517, 1093, 1221, 2374, 1421, 785, 408, 699, 286, 30, 959]"
8,225.35,"[2374, 1421, 785, 408, 699, 286, 1853, 30, 959]"
3,124.41,"[699, 408, 2374]"
19,294.39,"[517, 3853, 1421, 4367, 408, 30, 286, 1721, 955, 6459, 1853, 190, 959, 699, 322, 194, 4290, 1221, 2374]"
14,269.23,"[194, 322, 1221, 1093, 2374, 1421, 785, 408, 699, 286, 1853, 30, 959, 1239]"
29,340.08,"[1930, 1421, 1677, 785, 408, 6553, 1052, 3485, 30, 286, 5540, 58, 699, 188, 1853, 4413, 190, 959, 955, 322, 194, 4290, 1221, 2374, 1863, 1093, 713, 3911, 6032]"
4,142.29,"[408, 699, 2665, 286]"
20,311.13,"[517, 1421, 785, 408, 30, 286, 1721, 6459, 699, 955, 190, 959, 1853, 322, 194, 6082, 1221, 2374, 1863, 1093, 713]"
52,393.84,"[1930, 1421, 1677, 785, 408, 6553, 1052, 3485, 30, 286, 5540, 58, 6459, 699, 1853, 4413, 190, 6720, 959, 322, 194, 955, 1221, 2374, 1863, 1093, 713, 3911, 836, 2380, 3276, 3406, 2384, 6482, 1234, 2772, 469, 982, 1746, 4444, 4330, 5099, 6124, 5614, 4849, 755, 1909, 2805, 4599, 760, 1018, 2598]"
28,339.96,"[1930, 1421, 1677, 785, 408, 6553, 1052, 3485, 30, 286, 5540, 58, 699, 6576, 1853, 4413, 190, 959, 955, 322, 194, 4290, 1221, 2374, 1863, 1093, 713, 3911]"
19,308.59,"[517, 3853, 1421, 408, 30, 286, 1721, 955, 6459, 1853, 190, 959, 699, 322, 194, 1221, 2374, 1093, 3911, 713]"
15,270.67,"[194, 322, 1221, 1093, 2374, 1421, 785, 1239, 408, 699, 286, 1853, 30, 959, 4914]"
