n_nodes,influence,nodes
1,47.14,[408]
2,66.89,"[408, 1146]"
11,269.39,"[2374, 5191, 2634, 2847, 408, 1146, 699, 1052, 2013, 30, 31, 2834]"
57,427.25,"[408, 796, 1052, 30, 1183, 160, 33, 546, 2847, 31, 2342, 2854, 2732, 3712, 2994, 690, 438, 6583, 5689, 699, 6591, 959, 6079, 1344, 5443, 3908, 1220, 709, 3780, 2374, 6211, 5191, 4934, 969, 1866, 2634, 4173, 460, 3533, 3411, 3027, 341, 5976, 2905, 346, 2011, 5468, 2013, 734, 6622, 2273, 6114, 1898, 878, 3444, 3961, 1146]"
5,149.89,"[408, 1146, 699, 1052, 30]"
17,299.8,"[1183, 2374, 5191, 6856, 5707, 31, 656, 2013, 4626, 408, 959, 1146, 699, 1052, 1373, 30, 216]"
3,116.26,"[408, 699, 1052]"
7,212.11,"[796, 408, 1146, 699, 1052, 2013, 30, 959]"
13,279.89,"[2374, 5191, 2634, 31, 2834, 408, 1146, 699, 1052, 2013, 30, 1183, 3440]"
10,243.42,"[2374, 5402, 656, 408, 1146, 699, 1052, 2013, 30, 31, 3399]"
19,323.61,"[3712, 408, 1052, 796, 1183, 160, 33, 546, 2208, 31, 699, 959, 1344, 2374, 5191, 4173, 1373, 2013, 1122, 1146]"
4,120.4,"[3712, 408, 1052, 1183]"
21,336.68,"[3712, 408, 1052, 30, 31, 160, 33, 546, 2208, 1183, 699, 959, 1344, 5443, 2374, 5191, 4173, 2013, 1373, 1122, 1146, 2124]"
33,383.38,"[3712, 408, 796, 1052, 30, 31, 160, 33, 546, 2847, 1310, 1183, 1200, 2994, 819, 947, 690, 438, 699, 959, 1344, 6079, 5443, 2374, 5191, 4934, 797, 2634, 2378, 6999, 5976, 2013, 6622, 1146]"
14,290.82,"[3712, 2374, 5191, 2634, 3440, 2834, 408, 1146, 699, 1052, 2013, 30, 31, 1318]"
39,403.66,"[3712, 408, 1052, 30, 31, 160, 33, 546, 2847, 1183, 5029, 1200, 2994, 690, 438, 6583, 5689, 58, 699, 6079, 959, 6591, 1344, 5443, 2374, 5191, 4934, 969, 2634, 3027, 1242, 2013, 6622, 2273, 6114, 1898, 492, 1146, 4762]"
22,345.07,"[3712, 408, 1052, 30, 1183, 160, 33, 546, 2847, 31, 58, 699, 959, 5956, 2374, 5191, 3149, 4059, 2652, 2013, 3044, 1146, 3208]"
35,391.64,"[3712, 4626, 408, 1052, 796, 1310, 1183, 160, 33, 546, 2847, 30, 31, 1200, 2994, 819, 947, 5707, 438, 699, 959, 1344, 6079, 5443, 2374, 5191, 4934, 969, 2634, 2378, 6999, 5976, 2013, 6622, 1146]"
55,423.23,"[3712, 408, 1052, 30, 31, 160, 33, 546, 1183, 5670, 2854, 2732, 1200, 690, 2994, 438, 6583, 5689, 699, 6591, 959, 6079, 1344, 3908, 1220, 709, 3780, 2374, 6211, 5191, 4934, 969, 1866, 2634, 4173, 460, 3533, 3411, 3027, 341, 5976, 2905, 346, 2011, 5468, 2013, 734, 6622, 2273, 6114, 1898, 878, 3444, 3961, 1146]"
30,369.58,"[3712, 408, 1052, 30, 31, 160, 33, 546, 2847, 1183, 699, 959, 1344, 6079, 5443, 2374, 5191, 4934, 969, 2634, 2378, 4173, 3149, 3411, 3027, 5976, 2013, 492, 1146, 5338]"
6,191.3,"[408, 1146, 699, 1052, 2013, 30]"
18,308.15,"[2374, 5191, 6856, 5707, 216, 1052, 1373, 656, 4626, 408, 959, 1146, 699, 31, 2013, 30, 1183, 978]"
53,416.81,"[3712, 3345, 408, 1052, 796, 30, 1183, 31, 33, 546, 2854, 5670, 1200, 947, 690, 1333, 438, 6583, 5689, 699, 959, 6591, 6079, 1344, 5443, 2374, 5191, 4934, 969, 2634, 1866, 460, 4173, 3533, 3411, 3027, 341, 5976, 2905, 346, 2011, 5468, 2013, 734, 6622, 2782, 2273, 6114, 1898, 878, 3444, 3961, 1146]"
9,238.51,"[2374, 1052, 408, 1146, 699, 796, 2013, 30, 31, 844]"
26,353.51,"[3712, 408, 1052, 30, 31, 160, 33, 546, 2847, 1183, 699, 959, 1344, 6079, 5443, 2374, 5191, 2634, 4173, 3149, 5971, 2652, 2013, 6497, 3686, 1146]"
45,416.77,"[3712, 408, 796, 1052, 30, 31, 160, 33, 546, 2847, 1183, 690, 947, 438, 6583, 5689, 699, 959, 1344, 6079, 6591, 5443, 322, 3908, 5956, 2374, 5191, 2634, 4173, 2512, 3411, 3027, 341, 4438, 4950, 5976, 2905, 2011, 5468, 2013, 734, 2273, 1898, 878, 1146, 4497]"
27,355.42,"[3712, 3345, 408, 1052, 796, 30, 1183, 2847, 31, 546, 699, 6079, 1344, 959, 5443, 2374, 5191, 2634, 4173, 3149, 5971, 2652, 2013, 6497, 3686, 1146, 5058]"
54,422.56,"[3712, 408, 1052, 30, 1183, 160, 33, 546, 31, 2854, 5670, 1200, 2994, 947, 690, 1333, 438, 6583, 5689, 699, 959, 6591, 6079, 1344, 5443, 2374, 5191, 4934, 969, 2634, 1866, 460, 4173, 3533, 3411, 3027, 341, 5976, 2905, 346, 2011, 5468, 2013, 734, 6622, 2782, 2273, 6114, 1898, 878, 3444, 3961, 1146, 2990]"
20,333.3,"[3712, 408, 1052, 30, 31, 160, 33, 546, 1344, 58, 699, 959, 5956, 2374, 5191, 3149, 4059, 2652, 2013, 3044, 1146]"
19,313.73,"[3712, 408, 796, 30, 31, 2847, 33, 546, 1183, 58, 699, 959, 5956, 3908, 2374, 6987, 2013, 1373, 1146]"
36,396.19,"[3712, 4626, 408, 1052, 796, 1310, 1183, 160, 33, 546, 2847, 30, 31, 1200, 2994, 819, 947, 690, 438, 699, 959, 1344, 6079, 5443, 2374, 5191, 4934, 969, 2634, 2378, 6999, 5976, 2013, 6622, 1146, 1413]"
38,398.12,"[3712, 408, 1052, 30, 31, 160, 33, 546, 1183, 5670, 1200, 690, 2994, 1986, 1333, 438, 6583, 5689, 699, 959, 6591, 6079, 1344, 5443, 2374, 5191, 4934, 969, 5066, 2634, 4173, 3411, 3027, 5976, 2013, 6622, 492, 1146]"
8,230.75,"[3712, 2834, 408, 1146, 699, 1052, 2013, 30, 31]"
56,424.11,"[3712, 408, 1052, 30, 1183, 160, 33, 546, 31, 5670, 2854, 2732, 1200, 690, 2994, 438, 6583, 5689, 699, 6591, 959, 6079, 1344, 6211, 3908, 1220, 709, 3780, 2374, 5191, 4934, 969, 1866, 2634, 4173, 460, 3533, 3411, 3027, 341, 5976, 2905, 346, 2011, 5468, 2013, 734, 6622, 2273, 6114, 1898, 878, 3444, 3961, 1146, 338]"
31,382.41,"[3712, 408, 796, 1052, 30, 31, 160, 33, 546, 2847, 1183, 690, 947, 438, 24, 5689, 699, 959, 1344, 6079, 5443, 2374, 5191, 4934, 2378, 2634, 2013, 6622, 1250, 492, 1146]"
43,413.44,"[3712, 408, 1052, 30, 1183, 160, 33, 546, 31, 5670, 1200, 690, 947, 1333, 438, 6583, 5689, 4025, 699, 959, 6591, 1344, 5443, 2374, 5191, 2634, 4173, 2512, 3411, 3027, 341, 4438, 5976, 2905, 2011, 5468, 2013, 734, 2273, 1898, 5233, 1146, 2014]"
