n_nodes,influence,nodes
1,51.05,[408]
3,114.85,"[3712, 2013, 408]"
2,82.85,"[408, 2013]"
6,191.07,"[3712, 2374, 1687, 408, 2013, 30]"
7,212.92,"[3712, 1221, 2374, 1687, 408, 699, 2013, 1878]"
10,260.43,"[3712, 2564, 2374, 2601, 942, 430, 1687, 408, 699, 2013, 30]"
16,304.51,"[3712, 196, 2564, 2374, 5191, 2601, 1067, 430, 942, 2013, 1687, 408, 699, 29, 30, 3858]"
30,379.84,"[3712, 2564, 1687, 408, 29, 30, 4130, 546, 1067, 942, 430, 699, 962, 196, 1221, 2374, 5446, 2377, 5322, 203, 2013, 734, 6239, 733, 2909, 1506, 481, 228, 2665, 5994]"
14,294.26,"[3712, 3556, 1221, 2374, 2665, 1067, 942, 430, 30, 1687, 408, 699, 2013, 734]"
21,365.06,"[3712, 2564, 1687, 408, 29, 30, 5666, 4130, 546, 1067, 942, 699, 962, 196, 1221, 2374, 5191, 2013, 734, 2017, 1506, 2665]"
5,162.74,"[2374, 1687, 408, 2013, 30]"
26,375.76,"[3712, 4225, 1687, 408, 30, 5666, 546, 699, 958, 962, 1986, 196, 1221, 2374, 5446, 5191, 2377, 2013, 734, 3933, 3168, 2017, 1506, 2665, 5878, 6709]"
31,387.41,"[3712, 1687, 408, 29, 30, 5666, 4130, 546, 1067, 942, 699, 962, 196, 1221, 2374, 5191, 2377, 5322, 203, 5836, 4310, 5339, 4187, 2013, 734, 6239, 6754, 3816, 2665, 877, 5967]"
40,411.69,"[3712, 2564, 1687, 408, 29, 30, 5666, 4130, 546, 1067, 942, 699, 962, 196, 1221, 2374, 5191, 2504, 2377, 5322, 203, 4812, 3279, 1363, 1620, 3669, 3158, 2013, 4573, 734, 6239, 2909, 2273, 228, 2660, 2665, 877, 3699, 1402, 6924]"
13,285.32,"[3712, 3556, 1221, 2374, 2665, 734, 942, 430, 1687, 408, 699, 2013, 30]"
7,200.07,"[3712, 1221, 2374, 1687, 408, 2013, 30]"
20,352.89,"[3712, 1687, 408, 30, 5666, 4130, 546, 1067, 942, 50, 699, 962, 196, 1221, 2374, 5191, 2377, 2013, 734, 1506, 2665]"
33,403.92,"[3712, 2564, 1687, 408, 29, 4638, 30, 4130, 546, 1067, 942, 430, 699, 962, 196, 1221, 2374, 5191, 2377, 5322, 203, 2013, 734, 6239, 733, 2909, 1506, 4835, 481, 228, 2665, 5994, 3947, 877, 2665]"
4,160.98,"[2374, 408, 699, 2013]"
17,324.78,"[3712, 3556, 1221, 2374, 5191, 2665, 1067, 734, 942, 430, 30, 1687, 408, 699, 2013, 958, 993]"
11,272.46,"[3712, 1221, 2374, 2665, 941, 430, 1687, 408, 699, 2013, 30, 1451]"
19,330.79,"[3712, 2564, 1687, 1431, 408, 546, 1067, 942, 50, 699, 962, 1221, 2374, 5191, 2377, 2013, 734, 1506, 2665]"
33,396.23,"[3712, 2564, 1687, 408, 30, 5666, 4130, 546, 1067, 942, 430, 699, 962, 196, 1221, 2374, 5191, 2377, 409, 203, 2013, 734, 6239, 733, 2909, 1506, 4835, 481, 228, 2665, 5994, 3947, 877]"
15,302.49,"[3712, 3556, 1221, 2374, 2665, 1067, 734, 942, 430, 1687, 408, 699, 2013, 30, 960]"
42,425.38,"[3712, 2564, 1687, 408, 29, 925, 30, 5666, 546, 1067, 50, 699, 4796, 958, 959, 5568, 5953, 962, 196, 1221, 2374, 2504, 2377, 5322, 4812, 1363, 1620, 3669, 6612, 3158, 5589, 3930, 2013, 734, 6239, 733, 1506, 4460, 2660, 2665, 877, 1402]"
9,243.63,"[3712, 2374, 2665, 6258, 942, 1687, 408, 699, 2013, 30]"
19,349.22,"[3712, 1687, 408, 30, 5666, 4130, 546, 1067, 942, 699, 962, 196, 1221, 2374, 5191, 2377, 2013, 734, 1506, 2665]"
8,238.81,"[3712, 196, 2374, 2601, 1687, 408, 699, 2013, 30]"
41,417.91,"[3712, 2564, 1687, 408, 925, 29, 30, 5666, 546, 1067, 50, 699, 4796, 958, 959, 5568, 962, 196, 1221, 2374, 2504, 2377, 5322, 4812, 1363, 1620, 3669, 6612, 3158, 5589, 3930, 2013, 734, 6239, 733, 1506, 2660, 2665, 4460, 877, 1402]"
36,406.96,"[3712, 2564, 1687, 408, 29, 30, 4638, 4130, 546, 5288, 1067, 942, 430, 699, 962, 196, 1221, 2374, 5191, 2377, 5322, 203, 2013, 734, 6239, 733, 2909, 1506, 4835, 481, 228, 2665, 5994, 3947, 877, 5208]"
