n_nodes,influence,nodes
1,47.97,[408]
3,102.04,"[408, 1052, 286]"
5,146.16,"[2374, 408, 1052, 286, 959]"
2,84.72,"[408, 2374]"
6,159.81,"[2374, 408, 1052, 286, 959, 389]"
15,276.72,"[4612, 1221, 2374, 5191, 5515, 792, 82, 1687, 408, 699, 1052, 5181, 286, 959, 3018]"
7,194.28,"[2564, 1221, 2374, 1687, 3479, 408, 699, 286]"
9,227.73,"[3075, 2564, 1221, 2374, 408, 699, 1052, 5181, 286, 959]"
27,362.96,"[2564, 4356, 5515, 5268, 1687, 408, 1052, 286, 160, 1978, 699, 5181, 6463, 959, 1221, 2374, 5191, 977, 3674, 1498, 220, 4188, 3934, 1375, 477, 2013, 82]"
24,353.48,"[2564, 4356, 5515, 1687, 408, 1052, 286, 160, 699, 5181, 959, 6463, 1221, 2374, 5191, 82, 3674, 1498, 220, 4188, 3934, 1375, 477, 2013]"
16,284.42,"[160, 2564, 1221, 4356, 2374, 5191, 6463, 5515, 5877, 1687, 408, 699, 1052, 5181, 286, 959]"
4,118.57,"[408, 1052, 286, 959]"
20,317.61,"[2564, 4356, 5515, 1687, 408, 1052, 160, 699, 959, 1221, 2374, 5191, 977, 4056, 1498, 4188, 2013, 477, 3934, 5877, 266]"
43,403.24,"[2564, 4356, 5515, 1687, 408, 1052, 286, 160, 2601, 1457, 699, 5181, 959, 1858, 5955, 5700, 1221, 2374, 5191, 5197, 2131, 469, 1367, 6616, 1625, 4056, 3674, 220, 1498, 3934, 4188, 477, 6753, 993, 2013, 734, 5094, 1895, 743, 2151, 6375, 1643, 3436]"
17,287.33,"[160, 5955, 2564, 4356, 5700, 1221, 2374, 2601, 5515, 1457, 1687, 408, 699, 1052, 5181, 286, 959]"
30,368.38,"[2564, 4356, 645, 2311, 5515, 1687, 408, 1052, 286, 160, 302, 1203, 1846, 1978, 699, 5181, 6463, 959, 1221, 2374, 5191, 977, 4056, 1498, 220, 4188, 3934, 1375, 477, 2013]"
8,222.77,"[3075, 2564, 1221, 2374, 408, 699, 1052, 286, 959]"
48,417.19,"[2564, 4356, 5515, 1687, 408, 1052, 286, 160, 1328, 699, 5181, 6463, 959, 1858, 5955, 5700, 1221, 2374, 5191, 5190, 5197, 469, 1367, 6616, 1625, 4056, 3674, 220, 1498, 3934, 4188, 477, 6753, 993, 739, 2013, 734, 5094, 1895, 743, 2151, 6375, 1643, 3436, 997, 508, 126, 4776]"
14,275.92,"[2564, 4356, 1221, 2374, 2601, 5515, 1457, 1687, 408, 699, 1052, 5181, 286, 959]"
22,351.5,"[2564, 4356, 5515, 1687, 408, 1052, 286, 160, 699, 5181, 6463, 959, 1221, 2374, 5191, 82, 1498, 220, 4188, 3934, 1375, 477, 2013]"
18,309.97,"[2564, 4104, 1687, 408, 1052, 286, 1846, 699, 5181, 1221, 2374, 5191, 82, 2773, 1367, 220, 2013, 3934]"
44,411.42,"[2564, 4356, 5515, 1687, 408, 1052, 286, 160, 2601, 1457, 699, 5181, 959, 1858, 5955, 5700, 1221, 2374, 5191, 5197, 2131, 469, 1367, 6616, 1625, 4056, 3674, 220, 1498, 3934, 4188, 477, 6753, 993, 2013, 734, 997, 5094, 1895, 743, 2151, 1643, 3436, 508]"
10,230.75,"[3075, 2564, 6949, 2374, 5191, 82, 1687, 408, 699, 1052, 286]"
13,265.55,"[2564, 4356, 2374, 5191, 5515, 82, 1687, 408, 699, 1052, 5181, 286, 499]"
55,427.35,"[2564, 4356, 5515, 1687, 408, 1052, 286, 160, 2601, 1457, 699, 5181, 959, 1858, 5955, 5700, 1221, 2374, 5191, 5197, 2131, 469, 6373, 6616, 1625, 4056, 3674, 220, 1498, 3934, 4188, 477, 6753, 993, 2013, 734, 739, 5094, 1895, 3684, 2656, 743, 2151, 6375, 3304, 1643, 3436, 5609, 4845, 4846, 6643, 1012, 1017, 508, 126]"
21,343.24,"[2564, 4356, 5515, 1687, 408, 1052, 286, 160, 699, 5181, 959, 6463, 1221, 2374, 5191, 82, 1498, 4188, 3934, 1375, 477, 2013]"
7,186.09,"[3075, 2564, 2374, 408, 699, 1052, 286]"
41,403.02,"[2564, 4356, 5515, 1687, 408, 1052, 286, 160, 699, 5181, 6463, 959, 5700, 1221, 2374, 5191, 5190, 4444, 469, 6616, 4056, 3674, 1498, 220, 4188, 3934, 477, 2013, 6753, 993, 739, 734, 997, 5094, 1895, 743, 2151, 6375, 1643, 3436, 508]"
35,399.92,"[2564, 4356, 5515, 1687, 408, 1052, 286, 160, 699, 5181, 6463, 959, 1221, 2374, 5191, 977, 82, 1367, 4056, 3674, 1498, 220, 2013, 739, 4582, 743, 6375, 1643, 2549, 5111, 508, 125, 4606, 1663, 2605]"
11,246.74,"[4356, 1221, 2374, 2601, 5515, 1457, 1687, 408, 699, 1052, 5181, 959]"
