heuristic,model,graph,seed,spread,community,fairness,budget,time
CELF,WC,email_di,0,1.0,0.9113042586130652,0.8503218050558194,0.8075530472405582,0.19043191925099273
CELF,WC,email_di,1,1.0,0.9133596781088145,0.8129199066335678,0.8071496168405627,0.18240453456935038
CELF,WC,email_di,2,1.0,0.9150071416723187,0.8395618291438038,0.8085093446554337,0.18114698602203466
CELF,WC,facebook_combined_un,0,1.0,0.7470102394443692,0.5787146573373392,0.8315214358277553,0.0
CELF,WC,facebook_combined_un,1,1.0,0.7491579155654818,0.5494890347881831,0.8275248419185066,0.02837077373336345
CELF,WC,facebook_combined_un,2,1.0,0.7443353331330564,0.5453863806161017,0.8285626372860138,0.0
CELF,WC,gnutella_di,0,1.0,0.9179453677339088,0.6639875232773547,0.7841184613546015,0.012315979510219344
CELF,WC,gnutella_di,1,1.0,0.913601977764004,0.6736168382631891,0.7939586285988476,0.012664120508066316
CELF,WC,gnutella_di,2,1.0,0.9185167327252856,0.6360791932678037,0.7756328193020208,0.012202997276605905
CELF,WC,lastfm_un,0,1.0,0.6764404181031914,0.49518539226614905,0.7438824417309929,0.026855540113072507
CELF,WC,lastfm_un,1,1.0,0.6694916399078912,0.4848760268966251,0.7421510505158405,0.026036177301559545
CELF,WC,lastfm_un,2,1.0,0.6714967404729775,0.4954344267208104,0.7391748663113203,0.03673749322950274
CELF,WC,wiki-vote_di,0,1.0,0.9261726892427448,0.8468431522315393,0.7430003674335884,0.19990640813992766
CELF,WC,wiki-vote_di,1,1.0,0.9310853366985032,0.8791232414537709,0.7363367950427065,0.19998276612680485
CELF,WC,wiki-vote_di,2,1.0,0.9269297791220613,0.8328727591490829,0.7393119729836596,0.21734683942244443
CELF,WC,CA-HepTh_un,0,1.0,0.6142575590173713,0.44133338559037505,0.7180187386334697,0.03593136415586464
CELF,WC,CA-HepTh_un,1,1.0,0.611109438056369,0.45960972071573614,0.719148756132258,0.0640287788835144
CELF,WC,CA-HepTh_un,2,1.0,0.621831217811356,0.4769340379103649,0.7249585079764649,0.05433975240541494
