heuristic,model,graph,seed,spread,community,fairness,budget,time
CELF,IC,email_di,0,0.48805689655172413,0.458190331184347,0.39622891676390226,0.46129094011144933,0.020712190669371192
CELF,IC,email_di,1,0.4875685598377282,0.4588757136712427,0.40482217664777675,0.46040876203314485,0.010439229208924946
CELF,IC,email_di,2,0.48595709939148074,0.456974759967851,0.3994493859769591,0.45861070689175343,0.044570405679513175
CELF,IC,facebook_combined_un,0,0.518482198564001,0.36404862917412995,0.27833212825553233,0.47155921793439065,0.0
CELF,IC,facebook_combined_un,1,0.5172608566476851,0.36523387118287043,0.2971355463413632,0.4751310900455287,0.0
CELF,IC,facebook_combined_un,2,0.5179029462738302,0.36668502350505733,0.277029643351899,0.47173143570096,0.0
CELF,IC,gnutella_di,0,0.015411160501666934,0.008581417760451193,0.008128424590368118,0.009449633196871707,0.008808880774726148
CELF,IC,gnutella_di,1,0.015138291792347996,0.0082713564470351,0.00818713707344395,0.00952355856003792,0.008442524210192096
CELF,IC,gnutella_di,2,0.0152713922844896,0.008181008607509055,0.007111379479859858,0.009464429729768502,0.008476501031909826
CELF,IC,lastfm_un,0,0.06402059286463799,0.031940862419212256,0.025739470027773718,0.053607936976892104,0.0024210388247639034
CELF,IC,lastfm_un,1,0.062584981636936,0.03167673469184627,0.024685660523753476,0.05352630244207397,0.003292505246589716
CELF,IC,lastfm_un,2,0.0626207371458552,0.03096289084866438,0.024114043158723373,0.05323897797967973,0.0021739244491080795
CELF,IC,CA-HepTh_un,0,0.0258408080574207,0.010660657264463472,0.008757874777981574,0.019923776882183518,0.005407047927761055
CELF,IC,CA-HepTh_un,1,0.02632326927529521,0.01090956631656443,0.008734531200224896,0.01995133139512708,0.005469210465385506
CELF,IC,CA-HepTh_un,2,0.026503334105116922,0.011052257148911936,0.009076351664880026,0.02018435397994279,0.005540745542949756
CELF,IC,wiki-vote_di,0,0.17481283611661477,0.1658604249962683,0.14823665303973543,0.16272253377741094,0.0
CELF,IC,wiki-vote_di,1,0.17595091989810357,0.1667695612262075,0.12908783274150348,0.16329889244741386,0.01789272572884234
CELF,IC,wiki-vote_di,2,0.1772816869515992,0.1682008560100019,0.12736579489940178,0.1639162423312893,0.0
