heuristic,model,graph,seed,spread,community,fairness,budget,time
CELF,WC,email_di,0,0.38013265720081135,0.34641650934499985,0.32323508723165895,0.30697728567816573,0.0723893914807302
CELF,WC,email_di,1,0.3776443204868154,0.34492509499945967,0.30699458575083916,0.3048154685829477,0.06888403651115615
CELF,WC,email_di,2,0.3809313387423935,0.34855489543608725,0.31981541153276183,0.3079865470453296,0.06900456389452331
CELF,WC,facebook_combined_un,0,0.24437157712305024,0.18254807034008788,0.14142141351775117,0.20320020468485178,0.0
CELF,WC,facebook_combined_un,1,0.24590373854914582,0.1842207322012373,0.1351214079461759,0.20349145237005167,0.006976479326565979
CELF,WC,facebook_combined_un,2,0.2470535281010151,0.183890670140766,0.134739629509451,0.2046993227941914,0.0
CELF,WC,gnutella_di,0,0.29523698999841247,0.2710114273527451,0.196033677768907,0.23150077433251906,0.003636132719479281
CELF,WC,gnutella_di,1,0.28970320685823153,0.2646734227502547,0.19514895823854855,0.23001236081784976,0.0036688363232259083
CELF,WC,gnutella_di,2,0.2932089696777267,0.26931734483413283,0.18650412489149232,0.2274224997957759,0.003578028258453722
CELF,WC,lastfm_un,0,0.18771209338929698,0.12697604693528136,0.09295228659807903,0.13963573037286642,0.005041109653725078
CELF,WC,lastfm_un,1,0.19181428384050367,0.12841805944613652,0.09300614785060494,0.14235517225617342,0.004994110703043022
CELF,WC,lastfm_un,2,0.1891045514165792,0.1269830898848375,0.09368890502136892,0.13978133151221214,0.0069472271773347305
CELF,WC,wiki-vote_di,0,0.0794773988112086,0.0736097961909952,0.06730489094044709,0.05905173651939384,0.015888041324653268
CELF,WC,wiki-vote_di,1,0.08162625247664873,0.07600100677065752,0.07175953566499532,0.06010441314000231,0.01632384375884517
CELF,WC,wiki-vote_di,2,0.08081534106991224,0.0749101462476078,0.067308896098472,0.059747749253744195,0.017564958958392295
CELF,WC,CA-HepTh_un,0,0.0915482519101644,0.056234205750644986,0.04040329996039337,0.06573336036063537,0.0032894535772169478
CELF,WC,CA-HepTh_un,1,0.09180665663347995,0.05610391434511995,0.042195231815159204,0.06602264292262842,0.005878268117619817
CELF,WC,CA-HepTh_un,2,0.09163790229219729,0.05698330838003509,0.04370523476585314,0.06643367691984442,0.004979580921509607
