heuristic,model,graph,seed,k,spread,community,fairness,budget,time
GDD,WC,gnutella_di,0,0,0.018864899190347673,0.011738117650738766,0.0031588403803986,0.018188636934084276,0.0037729798380695336
GDD,WC,gnutella_di,0,1,0.026869455469122082,0.018186174386168857,0.0056170212701883914,0.025625282199801497,0.005373891093824415
GDD,WC,gnutella_di,0,2,0.03227898079060168,0.02287850702187919,0.007988842498091299,0.03046517117301476,0.005373891093824415
GDD,WC,gnutella_di,0,3,0.03745621527226543,0.026403794364601354,0.01054117357850123,0.034938703880471794,0.005373891093824415
GDD,WC,gnutella_di,0,4,0.04521820923956183,0.03161832897472718,0.013970882973349023,0.04144857634146795,0.005373891093824415
GDD,WC,gnutella_di,0,5,0.05163398952214637,0.036483152898081544,0.017520871680077193,0.04668086317386699,0.005373891093824415
GDD,WC,gnutella_di,0,6,0.05971628829973011,0.04303140204447374,0.020223060442166815,0.05309720641551861,0.005373891093824415
GDD,WC,gnutella_di,0,7,0.06478633116367677,0.04734236126506906,0.023423505020547283,0.05701617158667977,0.005373891093824415
GDD,WC,gnutella_di,0,8,0.07192987775837434,0.05405592679133772,0.028058985078594875,0.062404507703665985,0.005373891093824415
GDD,WC,gnutella_di,0,9,0.07192987775837434,0.05405592679133772,0.028441847577344755,0.062404507703665985,0.005373891093824415
GDD,WC,gnutella_di,0,10,0.0767406413716463,0.0583972603806947,0.03052481275067588,0.06586797008095811,0.005373891093824415
GDD,WC,gnutella_di,0,11,0.08577204318145737,0.06727128147251679,0.03411486680211387,0.07224188696689648,0.005373891093824415
GDD,WC,gnutella_di,0,12,0.08773629147483726,0.06881957506567205,0.03683360946979063,0.07360175117000564,0.005373891093824415
GDD,WC,gnutella_di,0,13,0.08989230036513732,0.07050740312336926,0.03773255574341888,0.07506538976693077,0.005373891093824415
GDD,WC,gnutella_di,0,14,0.09556783616447057,0.07623886654379229,0.04187959464850098,0.07884625454139324,0.005373891093824415
GDD,WC,gnutella_di,0,15,0.10053505318304493,0.08149567903056901,0.046565561524723714,0.08209219546092467,0.005373891093824415
GDD,WC,gnutella_di,0,16,0.10230466740752503,0.08333274194315597,0.04752496086839361,0.08322612302224201,0.005373891093824415
GDD,WC,gnutella_di,0,17,0.10363419590411177,0.08476986673884414,0.04815071795309017,0.08406117415415347,0.005373891093824415
GDD,WC,gnutella_di,0,18,0.1070097475789808,0.08803603137356497,0.04988287614581227,0.08614599957246316,0.005373891093824415
GDD,WC,gnutella_di,0,19,0.1118049372916336,0.09225509685897872,0.052383356232174313,0.08905749265415601,0.005373891093824415
GDD,WC,gnutella_di,0,20,0.1118049372916336,0.09225509685897872,0.05276034680273904,0.08905749265415601,0.005373891093824415
GDD,WC,gnutella_di,0,21,0.1118049372916336,0.09256546698800824,0.05293510462122315,0.08905749265415601,0.005373891093824415
GDD,WC,gnutella_di,0,22,0.11382335291316081,0.09459159556484985,0.054222086489758826,0.09022573171814674,0.005373891093824415
GDD,WC,gnutella_di,0,23,0.11587578980790603,0.0963424525333382,0.05531640453398119,0.0913952682011121,0.005373891093824415
GDD,WC,gnutella_di,0,24,0.11587578980790603,0.0963424525333382,0.05535297506248524,0.0913952682011121,0.005373891093824415
GDD,WC,gnutella_di,0,25,0.11714027623432291,0.09739763575831152,0.0582994532337998,0.09209408818285107,0.005373891093824415
GDD,WC,gnutella_di,0,26,0.11979060168280681,0.09988657069764663,0.06162304247202653,0.09353900048859659,0.005373891093824415
GDD,WC,gnutella_di,0,27,0.1198068264803937,0.09990023040847275,0.06219637493615299,0.09354772480096595,0.005373891093824415
GDD,WC,gnutella_di,0,28,0.1198068264803937,0.09999216681041379,0.06240136783824193,0.09354772480096595,0.005373891093824415
GDD,WC,gnutella_di,0,29,0.12072433719638037,0.10089755074750192,0.06293042481899556,0.09402737939483499,0.005373891093824415
GDD,WC,gnutella_di,0,30,0.12163114780123832,0.10184845960357589,0.06342047063279602,0.09449466790667368,0.005373891093824415
GDD,WC,gnutella_di,0,31,0.12163114780123832,0.10184845960357589,0.06342047063279602,0.09449466790667368,0.005373891093824415
GDD,WC,gnutella_di,0,32,0.1226880139704715,0.1028432692571794,0.0639838573541904,0.09502349563885158,0.005373891093824415
GDD,WC,gnutella_di,0,33,0.1226880139704715,0.1028432692571794,0.0639838573541904,0.09502349563885158,0.005373891093824415
GDD,WC,gnutella_di,0,34,0.12461384346721702,0.10447164063235173,0.06499487377204759,0.09595836432659213,0.005373891093824415
GDD,WC,gnutella_di,0,35,0.1281997301158914,0.10750284218812342,0.0668728619230077,0.097672305667258,0.005373891093824415
GDD,WC,gnutella_di,0,36,0.12956020003175106,0.10901513955953256,0.06759634955679061,0.09831240727068713,0.005373891093824415
GDD,WC,gnutella_di,0,37,0.13059936497856803,0.11010532596911983,0.06817564273397551,0.09879357401230514,0.005373891093824415
GDD,WC,gnutella_di,0,38,0.13294589617399585,0.11259536606016979,0.06941578428065065,0.09986256880633873,0.005373891093824415
GDD,WC,gnutella_di,0,39,0.13311343070328624,0.11273913280933749,0.06950538975782532,0.09993764029071081,0.005373891093824415
GDD,WC,gnutella_di,0,40,0.13311343070328624,0.11273913280933749,0.06951320467532829,0.09993764029071081,0.005373891093824415
GDD,WC,gnutella_di,0,41,0.13425802508334655,0.11379358058735958,0.07012478897097224,0.10043343173240984,0.005373891093824415
GDD,WC,gnutella_di,0,42,0.13621100174630896,0.11583331249046348,0.07116166434779085,0.10126479595786807,0.005373891093824415
GDD,WC,gnutella_di,0,43,0.13675575488172725,0.11644735464126849,0.07145077051579521,0.10149262400554114,0.005373891093824415
GDD,WC,gnutella_di,0,44,0.140352770280997,0.11991709845108427,0.07335838761298519,0.10297011352727256,0.005373891093824415
GDD,WC,gnutella_di,0,45,0.1407360850928719,0.12034390228134852,0.07357189126811427,0.10312469903766272,0.005373891093824415
GDD,WC,gnutella_di,0,46,0.14235805683441816,0.12184158465964769,0.07443244039748373,0.10376670428263624,0.005373891093824415
GDD,WC,gnutella_di,0,47,0.1427240673122718,0.12237388300968742,0.07462648460113475,0.10390884427403571,0.005373891093824415
GDD,WC,gnutella_di,0,48,0.14394915065883476,0.1235960853043622,0.07527659582713342,0.10437545555614706,0.005373891093824415
GDD,WC,gnutella_di,0,49,0.1449166851881251,0.12444272780904231,0.07745612919925006,0.10473674552227488,0.005373891093824415
GDD,WC,gnutella_di,0,50,0.14625181774884904,0.12577073513774886,0.08027615230034515,0.10522533025323437,0.005373891093824415
GDD,WC,gnutella_di,0,51,0.14717907604381647,0.12660253929912,0.08133632722416971,0.10555773053821149,0.005373891093824415
GDD,WC,gnutella_di,0,52,0.14791138275916813,0.12729233194924425,0.08176452677742695,0.10581477621126248,0.005373891093824415
GDD,WC,gnutella_di,0,53,0.14857844102238454,0.12787694992881649,0.08215420036938831,0.10604393737711726,0.005373891093824415
GDD,WC,gnutella_di,0,54,0.14867118590252423,0.1280344406543243,0.08446569410640968,0.10607510630621575,0.005373891093824415
